variable,group,value
"Jones, Sarah",DCLG,2
"Jones, Sarah",DCMS,2
"Jones, Sarah",Department for Transport,4
"Jones, Sarah",DeXEU,2
"Jones, Sarah",DfE,8
"Jones, Sarah",DfID,2
"Jones, Sarah",DHSC,2
"Jones, Sarah",FCO,5
"Jones, Sarah",Home Office,3
"Jones, Sarah",MHCLG,6
"Jones, Sarah",Ministry of Justice,6
"Jones, Sarah",Northern Ireland Office,2
"Jones, Sarah",Prime Minister,10
"Jones, Sarah",Treasury,4
"Jones, Susan Elan",Cabinet Office,1
"Jones, Susan Elan",DEFRA,4
"Jones, Susan Elan",Ministry of Defence,5
"Jones, Susan Elan",Ministry of Justice,1
"Jones, Susan Elan",Prime Minister,3
"Jones, Susan Elan",Wales Office,8
"Kane, Mike",DCLG,2
"Kane, Mike",DDCMS,2
"Kane, Mike",Department for Transport,2
"Kane, Mike",DfE,13
"Kane, Mike",FCO,5
"Kane, Mike",Home Office,2
"Kane, Mike",MHCLG,2
"Kane, Mike",Ministry of Defence,4
"Kane, Mike",Ministry of Justice,1
"Kane, Mike",Northern Ireland Office,2
"Kane, Mike",Prime Minister,3
"Kawczynski, Daniel",Attorney General,2
"Kawczynski, Daniel",BEIS,7
"Kawczynski, Daniel",Church Commissioners,8
"Kawczynski, Daniel",DDCMS,4
"Kawczynski, Daniel",DEFRA,4
"Kawczynski, Daniel",Department for Transport,5
"Kawczynski, Daniel",Department of Health,2
"Kawczynski, Daniel",DeXEU,2
"Kawczynski, Daniel",DfE,6
"Kawczynski, Daniel",DfID,2
"Kawczynski, Daniel",DHSC,1
"Kawczynski, Daniel",DWP,2
"Kawczynski, Daniel",FCO,8
"Kawczynski, Daniel",Home Office,1
"Kawczynski, Daniel",MHCLG,5
"Kawczynski, Daniel",Ministry of Defence,10
"Kawczynski, Daniel",Ministry of Justice,4
"Kawczynski, Daniel",Northern Ireland Office,2
"Kawczynski, Daniel",Prime Minister,6
"Kawczynski, Daniel",Treasury,8
"Kawczynski, Daniel",Wales Office,2
"Keegan, Gillian",Attorney General,2
"Keegan, Gillian",BEIS,2
"Keegan, Gillian",Cabinet Office,4
"Keegan, Gillian",Church Commissioners,2
"Keegan, Gillian",DCLG,1
"Keegan, Gillian",DDCMS,4
"Keegan, Gillian",DEFRA,4
"Keegan, Gillian",Department for Transport,4
"Keegan, Gillian",DeXEU,2
"Keegan, Gillian",DfID,2
"Keegan, Gillian",DIT,4
"Keegan, Gillian",DWP,2
"Keegan, Gillian",FCO,2
"Keegan, Gillian",Home Office,6
"Keegan, Gillian",MHCLG,2
"Keegan, Gillian",Minister for Women and Equalities,5
"Keegan, Gillian",Ministry of Defence,4
"Keegan, Gillian",Prime Minister,11
"Keegan, Gillian",Wales Office,3
"Keeley, Barbara",Department of Health,2
"Keeley, Barbara",DHSC,14
"Kendall, Liz",Ministry of Justice,2
"Kendall, Liz",Prime Minister,3
"Kerr, Stephen",Attorney General,2
"Kerr, Stephen",BEIS,18
"Kerr, Stephen",Cabinet Office,4
"Kerr, Stephen",DDCMS,7
"Kerr, Stephen",DEFRA,1
"Kerr, Stephen",Department for Transport,1
"Kerr, Stephen",DeXEU,5
"Kerr, Stephen",DfID,4
"Kerr, Stephen",DIT,2
"Kerr, Stephen",DWP,16
"Kerr, Stephen",FCO,7
"Kerr, Stephen",Home Office,5
"Kerr, Stephen",MHCLG,3
"Kerr, Stephen",Minister for Women and Equalities,1
"Kerr, Stephen",Ministry of Defence,9
"Kerr, Stephen",Northern Ireland Office,5
"Kerr, Stephen",Prime Minister,10
"Kerr, Stephen",Scotland Office,18
"Kerr, Stephen",Treasury,7
"Kerr, Stephen",Wales Office,10
"Khan, Afzal",BEIS,2
"Khan, Afzal",Cabinet Office,4
"Khan, Afzal",DDCMS,2
"Khan, Afzal",Department for Transport,6
"Khan, Afzal",DeXEU,8
"Khan, Afzal",DfE,4
"Khan, Afzal",DfID,2
"Khan, Afzal",DHSC,4
"Khan, Afzal",DIT,2
"Khan, Afzal",FCO,9
"Khan, Afzal",Home Office,14
"Khan, Afzal",MHCLG,2
"Khan, Afzal",Minister for Women and Equalities,2
"Khan, Afzal",Ministry of Defence,2
"Khan, Afzal",Ministry of Justice,2
"Khan, Afzal",Prime Minister,10
"Khan, Afzal",Treasury,6
"Killen, Ged",DDCMS,1
"Killen, Ged",Department for Transport,1
"Killen, Ged",DeXEU,6
"Killen, Ged",DfE,2
"Killen, Ged",MHCLG,6
"Killen, Ged",Minister for Women and Equalities,3
"Killen, Ged",Northern Ireland Office,7
"Killen, Ged",Prime Minister,8
"Killen, Ged",Scotland Office,9
"Kinnock, Stephen",BEIS,6
"Kinnock, Stephen",DDCMS,2
"Kinnock, Stephen",DeXEU,2
"Kinnock, Stephen",FCO,2
"Kinnock, Stephen",Ministry of Defence,1
"Kinnock, Stephen",Ministry of Justice,10
"Kinnock, Stephen",Prime Minister,10
"Kinnock, Stephen",Treasury,6
"Kinnock, Stephen",Wales Office,1
"Knight, Greg",Department for Transport,2
"Knight, Greg",DHSC,2
"Knight, Greg",Ministry of Justice,1
"Knight, Greg",Treasury,1
"Knight, Julian",BEIS,2
"Knight, Julian",DCLG,2
"Knight, Julian",DCMS,1
"Knight, Julian",DDCMS,11
"Knight, Julian",DeXEU,3
"Knight, Julian",DfE,1
"Knight, Julian",DWP,2
"Knight, Julian",FCO,2
"Knight, Julian",Home Office,2
"Knight, Julian",MHCLG,2
"Knight, Julian",Ministry of Justice,3
"Knight, Julian",Prime Minister,11
"Knight, Julian",Treasury,2
"Kwarteng, Kwasi",Cabinet Office,2
"Kwarteng, Kwasi",DeXEU,2
"Kwarteng, Kwasi",DHSC,4
"Kwarteng, Kwasi",Home Office,2
"Kwarteng, Kwasi",Prime Minister,4
"Kwarteng, Kwasi",Wales Office,2
"Kyle, Peter",BEIS,5
"Kyle, Peter",DEFRA,1
"Kyle, Peter",Department for Transport,4
"Kyle, Peter",DfE,2
"Kyle, Peter",DfID,1
"Kyle, Peter",DHSC,5
"Kyle, Peter",FCO,2
"Kyle, Peter",Home Office,2
"Kyle, Peter",Ministry of Defence,2
"Kyle, Peter",Ministry of Justice,2
"Kyle, Peter",Prime Minister,6
"Kyle, Peter",Treasury,3
"Laird, Lesley",Scotland Office,32
"Lake, Ben",Cabinet Office,2
"Lake, Ben",DDCMS,6
"Lake, Ben",DEFRA,8
"Lake, Ben",Department for Transport,1
"Lake, Ben",DeXEU,3
"Lake, Ben",DfE,2
"Lake, Ben",DIT,1
"Lake, Ben",Prime Minister,6
"Lake, Ben",Treasury,3
"Lake, Ben",Wales Office,18
"Lamb, Norman",DDCMS,2
"Lamb, Norman",Department for Transport,3
"Lamb, Norman",Department of Health,2
"Lamb, Norman",DeXEU,3
"Lamb, Norman",DHSC,2
"Lamb, Norman",Ministry of Defence,2
"Lamb, Norman",Ministry of Justice,1
"Lamb, Norman",Prime Minister,3
"Lammy, David",Attorney General,2
"Lammy, David",DEFRA,1
"Lammy, David",DHSC,1
"Lammy, David",MHCLG,2
"Lammy, David",Ministry of Justice,3
"Lammy, David",Prime Minister,4
"Lamont, John",Attorney General,3
"Lamont, John",BEIS,4
"Lamont, John",DEFRA,3
"Lamont, John",Department for Transport,1
"Lamont, John",DeXEU,5
"Lamont, John",DfE,2
"Lamont, John",DfID,4
"Lamont, John",FCO,8
"Lamont, John",Home Office,2
"Lamont, John",MHCLG,2
"Lamont, John",Ministry of Defence,2
"Lamont, John",Ministry of Justice,8
"Lamont, John",Prime Minister,11
"Lamont, John",Scotland Office,12
"Lamont, John",Treasury,3
"Latham, Pauline",BEIS,4
"Latham, Pauline",Cabinet Office,2
"Latham, Pauline",DCLG,2
"Latham, Pauline",DDCMS,4
"Latham, Pauline",DEFRA,6
"Latham, Pauline",Department for Transport,5
"Latham, Pauline",DeXEU,8
"Latham, Pauline",DfID,10
"Latham, Pauline",DHSC,3
"Latham, Pauline",DIT,2
"Latham, Pauline",DWP,3
"Latham, Pauline",FCO,6
"Latham, Pauline",Home Office,2
"Latham, Pauline",Minister for Women and Equalities,7
"Latham, Pauline",Ministry of Defence,6
"Latham, Pauline",Ministry of Justice,5
"Latham, Pauline",Northern Ireland Office,2
"Latham, Pauline",Prime Minister,13
"Latham, Pauline",Treasury,4
"Latham, Pauline",Wales Office,2
"Law, Chris",BEIS,3
"Law, Chris",DEFRA,3
"Law, Chris",Department for Transport,4
"Law, Chris",DeXEU,2
"Law, Chris",DfE,6
"Law, Chris",DfID,15
"Law, Chris",DHSC,2
"Law, Chris",DWP,1
"Law, Chris",FCO,6
"Law, Chris",Home Office,2
"Law, Chris",Minister for Women and Equalities,6
"Law, Chris",Ministry of Defence,2
"Law, Chris",Ministry of Justice,1
"Law, Chris",Northern Ireland Office,5
"Law, Chris",Prime Minister,8
"Law, Chris",Scotland Office,3
"Law, Chris",Treasury,2
"Leadsom, Andrea",MHCLG,2
"Leadsom, Andrea",Prime Minister,1
"Lee, Karen",BEIS,2
"Lee, Karen",Cabinet Office,2
"Lee, Karen",DDCMS,2
"Lee, Karen",Department for Transport,4
"Lee, Karen",DeXEU,4
"Lee, Karen",DfID,2
"Lee, Karen",DHSC,6
"Lee, Karen",DIT,6
"Lee, Karen",DWP,6
"Lee, Karen",FCO,6
"Lee, Karen",Home Office,13
"Lee, Karen",MHCLG,4
"Lee, Karen",Minister for Women and Equalities,8
"Lee, Karen",Ministry of Defence,4
"Lee, Karen",Ministry of Justice,6
"Lee, Karen",Prime Minister,3
"Lee, Karen",Wales Office,2
"Lee, Phillip",Prime Minister,3
"Lefroy, Jeremy",BEIS,8
"Lefroy, Jeremy",Cabinet Office,2
"Lefroy, Jeremy",Church Commissioners,5
"Lefroy, Jeremy",DDCMS,3
"Lefroy, Jeremy",DEFRA,11
"Lefroy, Jeremy",Department for Transport,4
"Lefroy, Jeremy",Department of Health,3
"Lefroy, Jeremy",DeXEU,23
"Lefroy, Jeremy",DfE,8
"Lefroy, Jeremy",DfID,7
"Lefroy, Jeremy",DHSC,7
"Lefroy, Jeremy",DIT,6
"Lefroy, Jeremy",DWP,2
"Lefroy, Jeremy",FCO,20
"Lefroy, Jeremy",Home Office,2
"Lefroy, Jeremy",MHCLG,4
"Lefroy, Jeremy",Ministry of Defence,2
"Lefroy, Jeremy",Ministry of Justice,3
"Lefroy, Jeremy",Northern Ireland Office,2
"Lefroy, Jeremy",Prime Minister,9
"Lefroy, Jeremy",Treasury,4
"Lefroy, Jeremy",Wales Office,1
"Leigh, Edward",Attorney General,2
"Leigh, Edward",BEIS,4
"Leigh, Edward",DCLG,4
"Leigh, Edward",DEFRA,6
"Leigh, Edward",DeXEU,2
"Leigh, Edward",DfE,3
"Leigh, Edward",DfID,2
"Leigh, Edward",DHSC,3
"Leigh, Edward",DIT,6
"Leigh, Edward",DWP,2
"Leigh, Edward",FCO,5
"Leigh, Edward",Home Office,9
"Leigh, Edward",Minister for Women and Equalities,1
"Leigh, Edward",Ministry of Defence,5
"Leigh, Edward",Ministry of Justice,7
"Leigh, Edward",Northern Ireland Office,4
"Leigh, Edward",Prime Minister,4
"Leigh, Edward",Treasury,8
"Leslie, Chris",Cabinet Office,2
"Leslie, Chris",Department of Health,1
"Leslie, Chris",DHSC,1
"Leslie, Chris",DIT,1
"Leslie, Chris",FCO,3
"Leslie, Chris",MHCLG,2
"Leslie, Chris",Treasury,7
"Letwin, Oliver",Prime Minister,1
"Lewell-Buck, Emma",BEIS,2
"Lewell-Buck, Emma",DEFRA,4
"Lewell-Buck, Emma",Department for Transport,1
"Lewell-Buck, Emma",DeXEU,8
"Lewell-Buck, Emma",DfE,13
"Lewell-Buck, Emma",DfID,2
"Lewell-Buck, Emma",DHSC,2
"Lewell-Buck, Emma",DWP,1
"Lewell-Buck, Emma",FCO,5
"Lewell-Buck, Emma",Home Office,2
"Lewell-Buck, Emma",MHCLG,7
"Lewell-Buck, Emma",Minister for Women and Equalities,8
"Lewell-Buck, Emma",Ministry of Defence,1
"Lewell-Buck, Emma",Ministry of Justice,8
"Lewell-Buck, Emma",Prime Minister,6
"Lewell-Buck, Emma",Treasury,7
"Lewer, Andrew",BEIS,2
"Lewer, Andrew",DEFRA,4
"Lewer, Andrew",Department for Transport,4
"Lewer, Andrew",DeXEU,6
"Lewer, Andrew",DHSC,8
"Lewer, Andrew",DIT,2
"Lewer, Andrew",HM Household,2
"Lewer, Andrew",Ministry of Justice,2
"Lewer, Andrew",Northern Ireland Office,2
"Lewer, Andrew",Prime Minister,6
"Lewer, Andrew",Treasury,4
"Lewis, Clive",BEIS,6
"Lewis, Clive",DCLG,2
"Lewis, Clive",Department of Health,4
"Lewis, Clive",DfE,2
"Lewis, Clive",DfID,2
"Lewis, Clive",DIT,1
"Lewis, Clive",Home Office,1
"Lewis, Clive",Treasury,4
"Lewis, Ivan",DHSC,1
"Lewis, Ivan",Prime Minister,1
"Lewis, Ivan",Treasury,2
"Lewis, Julian",DIT,1
"Lewis, Julian",DWP,3
"Lewis, Julian",FCO,4
"Lewis, Julian",Home Office,4
"Lewis, Julian",MHCLG,1
"Lewis, Julian",Ministry of Defence,25
"Lewis, Julian",Ministry of Justice,1
"Lewis, Julian",Northern Ireland Office,2
"Lewis, Julian",Prime Minister,11
"Lewis, Julian",Wales Office,2
"Liddell-Grainger, Ian",Department of Health,2
"Lidington, David",Attorney General,1
"Lidington, David",Ministry of Justice,1
"Linden, David",Attorney General,4
"Linden, David",BEIS,5
"Linden, David",Cabinet Office,6
"Linden, David",DCMS,2
"Linden, David",DDCMS,3
"Linden, David",DEFRA,3
"Linden, David",Department for Transport,11
"Linden, David",Department of Health,2
"Linden, David",DeXEU,4
"Linden, David",DfID,5
"Linden, David",DHSC,2
"Linden, David",DIT,3
"Linden, David",DWP,6
"Linden, David",FCO,6
"Linden, David",Home Office,5
"Linden, David",House of Commons Commission,5
"Linden, David",MHCLG,2
"Linden, David",Minister for Women and Equalities,4
"Linden, David",Ministry of Defence,4
"Linden, David",Ministry of Justice,9
"Linden, David",Northern Ireland Office,2
"Linden, David",Prime Minister,12
"Linden, David",Scotland Office,11
"Linden, David",Treasury,13
"Linden, David",Wales Office,6
"Little Pengelly, Emma",BEIS,1
"Little Pengelly, Emma",DeXEU,4
"Little Pengelly, Emma",DIT,3
"Little Pengelly, Emma",Home Office,1
"Little Pengelly, Emma",Minister for Women and Equalities,2
"Little Pengelly, Emma",Ministry of Justice,1
"Little Pengelly, Emma",Northern Ireland Office,8
"Lloyd, Stephen",DEFRA,2
"Lloyd, Stephen",Department for Transport,2
"Lloyd, Stephen",DfE,6
"Lloyd, Stephen",DHSC,6
"Lloyd, Stephen",DWP,11
"Lloyd, Stephen",Ministry of Defence,2
"Lloyd, Stephen",Ministry of Justice,6
"Lloyd, Stephen",Northern Ireland Office,2
"Lloyd, Stephen",Prime Minister,6
"Lloyd, Stephen",Treasury,3
"Lloyd, Stephen",Wales Office,2
"Lloyd, Tony",Attorney General,3
"Lloyd, Tony",DCLG,1
"Lloyd, Tony",DEFRA,3
"Lloyd, Tony",Department for Transport,3
"Lloyd, Tony",Department of Health,1
"Lloyd, Tony",DfE,3
"Lloyd, Tony",DfID,1
"Lloyd, Tony",DHSC,1
"Lloyd, Tony",DIT,2
"Lloyd, Tony",DWP,2
"Lloyd, Tony",FCO,2
"Lloyd, Tony",Home Office,6
"Lloyd, Tony",MHCLG,2
"Lloyd, Tony",Minister for Women and Equalities,2
"Lloyd, Tony",Ministry of Defence,2
"Lloyd, Tony",Ministry of Justice,5
"Lloyd, Tony",Northern Ireland Office,20
"Lloyd, Tony",Scotland Office,2
"Lloyd, Tony",Treasury,5
"Long Bailey, Rebecca",BEIS,34
"Long Bailey, Rebecca",Prime Minister,6
"Lopez, Julia",Cabinet Office,2
"Lopez, Julia",DEFRA,2
"Lopez, Julia",Department for Transport,3
"Lopez, Julia",DeXEU,3
"Lopez, Julia",DfE,2
"Lopez, Julia",DHSC,4
"Lopez, Julia",DIT,2
"Lopez, Julia",FCO,2
"Lopez, Julia",MHCLG,5
"Lopez, Julia",Ministry of Defence,6
"Lopez, Julia",Ministry of Justice,3
"Lopez, Julia",Prime Minister,6
"Lopez, Julia",Treasury,1
"Lopresti, Jack",DDCMS,2
"Lopresti, Jack",Department of Health,2
"Lopresti, Jack",DfE,2
"Lopresti, Jack",DfID,1
"Lopresti, Jack",DWP,2
"Lopresti, Jack",FCO,4
"Lopresti, Jack",Home Office,3
"Lopresti, Jack",MHCLG,5
"Lopresti, Jack",Ministry of Defence,8
"Lopresti, Jack",Ministry of Justice,1
"Lopresti, Jack",Prime Minister,10
"Lopresti, Jack",Treasury,2
"Lopresti, Jack",Wales Office,1
"Loughton, Tim",Attorney General,3
"Loughton, Tim",Cabinet Office,1
"Loughton, Tim",Church Commissioners,2
"Loughton, Tim",DDCMS,7
"Loughton, Tim",Department for Transport,9
"Loughton, Tim",Department of Health,2
"Loughton, Tim",DeXEU,4
"Loughton, Tim",DfE,3
"Loughton, Tim",DfID,7
"Loughton, Tim",DHSC,5
"Loughton, Tim",DIT,3
"Loughton, Tim",DWP,1
"Loughton, Tim",FCO,2
"Loughton, Tim",Home Office,3
"Loughton, Tim",Minister for Women and Equalities,1
"Loughton, Tim",Ministry of Justice,6
"Loughton, Tim",Prime Minister,17
"Loughton, Tim",Treasury,6
"Lucas, Caroline",BEIS,1
"Lucas, Caroline",DEFRA,1
"Lucas, Caroline",DeXEU,1
"Lucas, Caroline",Prime Minister,15
"Lucas, Ian",Attorney General,3
"Lucas, Ian",BEIS,6
"Lucas, Ian",Cabinet Office,4
"Lucas, Ian",DCMS,2
"Lucas, Ian",DDCMS,7
"Lucas, Ian",DEFRA,3
"Lucas, Ian",Department for Transport,4
"Lucas, Ian",DeXEU,2
"Lucas, Ian",DfID,9
"Lucas, Ian",DIT,4
"Lucas, Ian",DWP,3
"Lucas, Ian",FCO,4
"Lucas, Ian",Home Office,2
"Lucas, Ian",Minister for Women and Equalities,4
"Lucas, Ian",Ministry of Defence,1
"Lucas, Ian",Ministry of Justice,4
"Lucas, Ian",Northern Ireland Office,2
"Lucas, Ian",Prime Minister,10
"Lucas, Ian",Scotland Office,2
"Lucas, Ian",Treasury,7
"Lucas, Ian",Wales Office,13
"Lynch, Holly",Attorney General,3
"Lynch, Holly",DDCMS,2
"Lynch, Holly",DEFRA,11
"Lynch, Holly",Department for Transport,2
"Lynch, Holly",DfID,2
"Lynch, Holly",Home Office,3
"Lynch, Holly",Minister for Women and Equalities,2
"Lynch, Holly",Prime Minister,2
"Mackinlay, Craig",Cabinet Office,3
"Mackinlay, Craig",DCLG,2
"Mackinlay, Craig",DHSC,2
"Mackinlay, Craig",Electoral Commission,1
"Mackinlay, Craig",FCO,2
"Mackinlay, Craig",Home Office,4
"Mackinlay, Craig",Ministry of Justice,2
"Mackinlay, Craig",Prime Minister,5
"Mackinlay, Craig",Treasury,4
"Maclean, Rachel",Attorney General,1
"Maclean, Rachel",BEIS,7
"Maclean, Rachel",Cabinet Office,2
"Maclean, Rachel",DDCMS,3
"Maclean, Rachel",DEFRA,10
"Maclean, Rachel",Department for Transport,6
"Maclean, Rachel",Department of Health,3
"Maclean, Rachel",DeXEU,9
"Maclean, Rachel",DfE,4
"Maclean, Rachel",DfID,6
"Maclean, Rachel",DHSC,8
"Maclean, Rachel",DIT,5
"Maclean, Rachel",DWP,10
"Maclean, Rachel",FCO,9
"Maclean, Rachel",Home Office,3
"Maclean, Rachel",MHCLG,2
"Maclean, Rachel",Minister for Women and Equalities,1
"Maclean, Rachel",Ministry of Defence,4
"Maclean, Rachel",Ministry of Justice,2
"Maclean, Rachel",Northern Ireland Office,2
"Maclean, Rachel",Prime Minister,16
"Maclean, Rachel",Scotland Office,2
"Maclean, Rachel",Treasury,6
"Maclean, Rachel",Wales Office,1
"MacNeil, Angus Brendan",DEFRA,5
"MacNeil, Angus Brendan",Department for Transport,1
"MacNeil, Angus Brendan",DIT,5
"MacNeil, Angus Brendan",Home Office,3
"MacNeil, Angus Brendan",House of Commons Commission,2
"MacNeil, Angus Brendan",Northern Ireland Office,1
"MacNeil, Angus Brendan",Prime Minister,2
"MacNeil, Angus Brendan",Scotland Office,3
"Madders, Justin",Attorney General,4
"Madders, Justin",BEIS,8
"Madders, Justin",Cabinet Office,2
"Madders, Justin",DDCMS,1
"Madders, Justin",Department for Transport,7
"Madders, Justin",Department of Health,3
"Madders, Justin",DeXEU,6
"Madders, Justin",DfE,11
"Madders, Justin",DHSC,17
"Madders, Justin",DWP,3
"Madders, Justin",House of Commons Commission,4
"Madders, Justin",MHCLG,4
"Madders, Justin",Minister for Women and Equalities,7
"Madders, Justin",Ministry of Justice,4
"Madders, Justin",Prime Minister,6
"Madders, Justin",Treasury,2
"Madders, Justin",Wales Office,4
"Mahmood, Khalid",DDCMS,1
"Mahmood, Khalid",FCO,16
"Mahmood, Khalid",Prime Minister,4
"Mahmood, Shabana",Home Office,3
"Mahmood, Shabana",Minister for Women and Equalities,2
"Mahmood, Shabana",Ministry of Justice,1
"Mahmood, Shabana",Wales Office,2
"Main, Anne",DCLG,1
"Main, Anne",DfE,3
"Main, Anne",DfID,2
"Main, Anne",FCO,2
"Main, Anne",Home Office,1
"Main, Anne",MHCLG,1
"Main, Anne",Ministry of Defence,1
"Main, Anne",Ministry of Justice,1
"Main, Anne",Prime Minister,8
"Mak, Alan",Attorney General,2
"Mak, Alan",BEIS,5
"Mak, Alan",Cabinet Office,1
"Mak, Alan",DCLG,3
"Mak, Alan",DDCMS,6
"Mak, Alan",DEFRA,6
"Mak, Alan",Department for Transport,2
"Mak, Alan",DeXEU,2
"Mak, Alan",DfE,4
"Mak, Alan",DfID,4
"Mak, Alan",DHSC,12
"Mak, Alan",DIT,2
"Mak, Alan",DWP,3
"Mak, Alan",FCO,8
"Mak, Alan",Home Office,7
"Mak, Alan",MHCLG,2
"Mak, Alan",Minister for Women and Equalities,6
"Mak, Alan",Ministry of Defence,3
"Mak, Alan",Ministry of Justice,14
"Mak, Alan",Northern Ireland Office,2
"Mak, Alan",Prime Minister,6
"Mak, Alan",Treasury,7
"Malhotra, Seema",BEIS,2
"Malhotra, Seema",DDCMS,2
"Malhotra, Seema",Department for Transport,3
"Malhotra, Seema",Department of Health,1
"Malhotra, Seema",DeXEU,3
"Malhotra, Seema",DfE,1
"Malhotra, Seema",DHSC,2
"Malhotra, Seema",DIT,1
"Malhotra, Seema",FCO,2
"Malhotra, Seema",MHCLG,1
"Malhotra, Seema",Minister for Women and Equalities,1
"Malhotra, Seema",Ministry of Justice,3
"Malhotra, Seema",Prime Minister,6
"Malhotra, Seema",Scotland Office,1
"Malhotra, Seema",Treasury,5
"Malthouse, Kit",DCLG,2
"Malthouse, Kit",Home Office,1
"Malthouse, Kit",Minister for Women and Equalities,1
"Malthouse, Kit",Prime Minister,4
"Mann, Lord",Cabinet Office,2
"Mann, Lord",DCLG,1
"Mann, Lord",DEFRA,3
"Mann, Lord",Department of Health,2
"Mann, Lord",DfE,4
"Mann, Lord",DfID,2
"Mann, Lord",DWP,2
"Mann, Lord",FCO,2
"Mann, Lord",Home Office,4
"Mann, Lord",MHCLG,2
"Mann, Lord",Ministry of Defence,4
"Mann, Lord",Ministry of Justice,3
"Mann, Lord",Northern Ireland Office,2
"Mann, Lord",Prime Minister,9
"Mann, Lord",Treasury,2
"Mann, Lord",Wales Office,2
"Mann, Scott",BEIS,7
"Mann, Scott",Cabinet Office,6
"Mann, Scott",Church Commissioners,2
"Mann, Scott",DCLG,4
"Mann, Scott",DDCMS,5
"Mann, Scott",DEFRA,3
"Mann, Scott",Department for Transport,6
"Mann, Scott",DeXEU,8
"Mann, Scott",DfE,10
"Mann, Scott",DfID,6
"Mann, Scott",DHSC,2
"Mann, Scott",DWP,7
"Mann, Scott",FCO,3
"Mann, Scott",Home Office,2
"Mann, Scott",MHCLG,7
"Mann, Scott",Ministry of Defence,7
"Mann, Scott",Ministry of Justice,5
"Mann, Scott",Northern Ireland Office,2
"Mann, Scott",Prime Minister,10
"Mann, Scott",Treasury,6
"Mann, Scott",Wales Office,4
"Marsden, Gordon",DfE,16
"Marsden, Gordon",Prime Minister,6
"Martin, Sandy",DDCMS,1
"Martin, Sandy",DEFRA,5
"Martin, Sandy",Department for Transport,7
"Martin, Sandy",Department of Health,2
"Martin, Sandy",DeXEU,4
"Martin, Sandy",DfE,6
"Martin, Sandy",DfID,2
"Martin, Sandy",DHSC,2
"Martin, Sandy",DIT,7
"Martin, Sandy",Home Office,4
"Martin, Sandy",MHCLG,4
"Martin, Sandy",Minister for Women and Equalities,6
"Martin, Sandy",Ministry of Justice,2
"Martin, Sandy",Prime Minister,11
"Martin, Sandy",Scotland Office,2
"Martin, Sandy",Treasury,2
"Maskell, Rachael",Attorney General,2
"Maskell, Rachael",BEIS,9
"Maskell, Rachael",Cabinet Office,3
"Maskell, Rachael",Church Commissioners,10
"Maskell, Rachael",DCLG,1
"Maskell, Rachael",DDCMS,6
"Maskell, Rachael",DEFRA,15
"Maskell, Rachael",Department for Transport,27
"Maskell, Rachael",Department of Health,3
"Maskell, Rachael",DeXEU,9
"Maskell, Rachael",DfE,9
"Maskell, Rachael",DfID,1
"Maskell, Rachael",DHSC,8
"Maskell, Rachael",DIT,4
"Maskell, Rachael",DWP,11
"Maskell, Rachael",FCO,2
"Maskell, Rachael",Home Office,9
"Maskell, Rachael",House of Commons Commission,4
"Maskell, Rachael",MHCLG,14
"Maskell, Rachael",Minister for Women and Equalities,4
"Maskell, Rachael",Ministry of Defence,12
"Maskell, Rachael",Ministry of Justice,5
"Maskell, Rachael",Prime Minister,8
"Maskell, Rachael",Treasury,9
"Maskell, Rachael",Wales Office,2
"Masterton, Paul",Attorney General,2
"Masterton, Paul",BEIS,5
"Masterton, Paul",Cabinet Office,1
"Masterton, Paul",Department for Transport,2
"Masterton, Paul",Department of Health,2
"Masterton, Paul",DeXEU,1
"Masterton, Paul",DfE,2
"Masterton, Paul",DfID,3
"Masterton, Paul",DHSC,8
"Masterton, Paul",DIT,2
"Masterton, Paul",DWP,8
"Masterton, Paul",FCO,7
"Masterton, Paul",Home Office,2
"Masterton, Paul",MHCLG,1
"Masterton, Paul",Northern Ireland Office,5
"Masterton, Paul",Prime Minister,10
"Masterton, Paul",Scotland Office,19
"Masterton, Paul",Treasury,7
"Masterton, Paul",Wales Office,6
"Matheson, Christian",Attorney General,2
"Matheson, Christian",BEIS,4
"Matheson, Christian",Cabinet Office,11
"Matheson, Christian",DCMS,2
"Matheson, Christian",DDCMS,3
"Matheson, Christian",DEFRA,9
"Matheson, Christian",Department for Transport,5
"Matheson, Christian",Department of Health,2
"Matheson, Christian",DeXEU,3
"Matheson, Christian",DfE,3
"Matheson, Christian",DfID,2
"Matheson, Christian",DHSC,2
"Matheson, Christian",DIT,6
"Matheson, Christian",DWP,2
"Matheson, Christian",FCO,5
"Matheson, Christian",House of Commons Commission,8
"Matheson, Christian",MHCLG,8
"Matheson, Christian",Minister for Women and Equalities,6
"Matheson, Christian",Ministry of Defence,9
"Matheson, Christian",Ministry of Justice,4
"Matheson, Christian",Northern Ireland Office,3
"Matheson, Christian",Prime Minister,4
"Matheson, Christian",Treasury,10
"Matheson, Christian",Wales Office,9
"Mc Nally, John",BEIS,5
"Mc Nally, John",DDCMS,4
"Mc Nally, John",DEFRA,6
"Mc Nally, John",Department for Transport,4
"Mc Nally, John",DeXEU,1
"Mc Nally, John",DfE,6
"Mc Nally, John",DHSC,2
"Mc Nally, John",Home Office,4
"Mc Nally, John",MHCLG,2
"Mc Nally, John",Ministry of Defence,5
"Mc Nally, John",Northern Ireland Office,4
"Mc Nally, John",Prime Minister,6
"Mc Nally, John",Scotland Office,6
"Mc Nally, John",Treasury,6
